Country,Destination,Description,Rank,Architecture,Nature,Shopping,Fishing,Hiking,Outdoor Recreation,Adventure,Beaches,Camping,Caves,Museums,National Parks,Art,Desert,Coral reef,Skiing,Snowboarding,Winter sports,Wildlife,Penguin,Glacier,Ecotourism,Snorkeling,Koala,Surfing,Nature reserve,Volcano,Sailing,Scuba diving,Theaters,Elephant,Safari,Jaguar,Casinos,Kitesurfing,Windsurfing,Birdwatching,Rainforest,Nightlife,Whale watching,Reindeer,Gorilla,Kayaking,Polar bear,Hot spring,Tiger,Yoga,Orangutan,Golf,Rafting,Autumn leaf color,Dolphin,Wine tasting,Climbing,Paragliding,Bungee jumping,Whale shark,Alpine skiing,Historic site
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",1,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",1,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",7,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",3,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",14,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",5,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",1,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",12,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",4,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",4,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",1,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",4,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",12,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",3,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",2,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",1,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Faroe Islands,Tórshavn,"Tórshavn, on Streymoy Island, is the capital city of the Faroe Islands. It's known for its old town, Tinganes, crammed with wooden turf-roofed houses on a small peninsula. Nearby is Tórshavn Cathedral, rebuilt in the 19th century. Local boutiques dot the main shopping strip, Niels Finsens gøta. To the north, the Nordic House cultural center offers theater, dance and music performances in a contemporary space.The National Gallery of the Faroe Islands showcases Faroese art, including sculptures and paintings. The National Museum, on the city’s northern outskirts, features natural history and cultural exhibits. The museum's collection includes ornate, centuries-old pew-ends and Viking-era artifacts. It also encompasses the Hoyvíksgarður open-air museum, with its traditional farmstead. Overlooking the bay, a lighthouse sits atop the remains of Skansin Fort, which has cannons used by the British during WWII.Read more",4,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
