Country,Destination,Month,Popularity,MinTemp,MaxTemp,Precipitation
Andorra,Canillo,November,, -2°,4°,33%
Andorra,Canillo,December,, -3°,3°,21%
Andorra,Canillo,January,, -5°,2°,30%
Andorra,Canillo,February,, -7°,0°,37%
Andorra,Canillo,March,, -5°,3°,36%
Andorra,Canillo,April,, -2°,6°,38%
Andorra,Canillo,May,, 1°,9°,40%
Andorra,Canillo,June,, 6°,14°,36%
Andorra,Pal,July,1.5,,,
Andorra,Pal,August,2,,,
Andorra,Pal,September,3,,,
Andorra,Pal,October,2.5,,,
Andorra,Pal,November,2.5,,,
Andorra,Pal,December,2.5,,,
Andorra,Pal,January,2.5,,,
Andorra,Pal,February,2.5,,,
Andorra,Pal,March,2,,,
Andorra,Pal,April,2,,,
Andorra,Pal,May,1.5,,,
Andorra,Pal,June,1.5,,,
Andorra,Andorra la Vella,July,3,,,
Andorra,Andorra la Vella,August,4,,,
Andorra,Andorra la Vella,September,2,,,
Andorra,Andorra la Vella,October,2,,,
Andorra,Andorra la Vella,November,1.5,,,
Andorra,Andorra la Vella,December,3,,,
Andorra,Andorra la Vella,January,2.5,,,
Andorra,Andorra la Vella,February,2,,,
Andorra,Andorra la Vella,March,2,,,
Andorra,Andorra la Vella,April,1.5,,,
Andorra,Andorra la Vella,May,1.5,,,
Andorra,Andorra la Vella,June,1.5,,,
Andorra,Fontaneda,July,, 11°,26°,19%
Andorra,Fontaneda,August,, 11°,26°,18%
Andorra,Fontaneda,September,, 7°,21°,19%
Andorra,Fontaneda,October,, 4°,17°,19%
Andorra,Fontaneda,November,, -2°,10°,20%
Andorra,Fontaneda,December,, -5°,7°,11%
Andorra,Fontaneda,January,, -5°,7°,15%
Andorra,Fontaneda,February,, -5°,7°,18%
Andorra,Fontaneda,March,, -2°,11°,22%
Andorra,Fontaneda,April,, 1°,14°,26%
Andorra,Fontaneda,May,, 4°,18°,28%
Andorra,Fontaneda,June,, 8°,23°,25%
Andorra,Juberri,July,, 11°,26°,19%
Andorra,Juberri,August,, 11°,26°,18%
Andorra,Juberri,September,, 7°,21°,19%
Andorra,Juberri,October,, 4°,17°,19%
Andorra,Juberri,November,, -2°,10°,20%
Andorra,Juberri,December,, -5°,7°,11%
Andorra,Juberri,January,, -5°,7°,15%
Andorra,Juberri,February,, -5°,7°,18%
Andorra,Juberri,March,, -2°,11°,22%
Andorra,Juberri,April,, 1°,14°,26%
Andorra,Juberri,May,, 4°,18°,28%
Andorra,Juberri,June,, 8°,23°,25%
Andorra,Sant Pere,July,, 12°,20°,27%
Andorra,Sant Pere,August,, 12°,21°,25%
Andorra,Sant Pere,September,, 8°,16°,25%
Andorra,Sant Pere,October,, 6°,13°,23%
Andorra,Sant Pere,November,, 1°,7°,33%
Andorra,Sant Pere,December,, 0°,6°,21%
Andorra,Sant Pere,January,, -2°,5°,30%
Andorra,Sant Pere,February,, -4°,4°,37%
Andorra,Sant Pere,March,, -1°,6°,36%
Andorra,Sant Pere,April,, 1°,9°,38%
Andorra,Sant Pere,May,, 4°,12°,40%
Andorra,Sant Pere,June,, 9°,17°,36%
Andorra,Encamp,July,, 6°,15°,27%
Andorra,Encamp,August,, 6°,15°,25%
Andorra,Encamp,September,, 3°,11°,25%
Andorra,Encamp,October,, 0°,7°,23%
Andorra,Encamp,November,, -5°,2°,33%
Andorra,Encamp,December,, -6°,1°,21%
Andorra,Encamp,January,, -7°,-1°,30%
Andorra,Encamp,February,, -9°,-2°,37%
Andorra,Encamp,March,, -7°,1°,36%
Andorra,Encamp,April,, -4°,4°,38%
Andorra,Encamp,May,, -1°,7°,40%
Andorra,Encamp,June,, 3°,11°,36%
Andorra,La Massana,July,2.5,,,
Andorra,La Massana,August,3,,,
Andorra,La Massana,September,2.5,,,
Andorra,La Massana,October,1.5,,,
Andorra,La Massana,November,1.5,,,
Andorra,La Massana,December,3,,,
Andorra,La Massana,January,3,,,
Andorra,La Massana,February,3,,,
Andorra,La Massana,March,3,,,
Andorra,La Massana,April,1.5,,,
Andorra,La Massana,May,1.5,,,
Andorra,La Massana,June,1.5,,,
Andorra,Ransol,July,, 12°,21°,27%
Andorra,Ransol,August,, 13°,21°,25%
Andorra,Ransol,September,, 9°,17°,25%
Andorra,Ransol,October,, 6°,14°,23%
Andorra,Ransol,November,, 2°,8°,33%
Andorra,Ransol,December,, 0°,7°,21%
Andorra,Ransol,January,, -1°,6°,30%
Andorra,Ransol,February,, -3°,4°,37%
Andorra,Ransol,March,, -1°,7°,36%
Andorra,Ransol,April,, 2°,10°,38%
Andorra,Ransol,May,, 5°,13°,40%
Andorra,Ransol,June,, 9°,17°,36%
Andorra,Les Escaldes,July,2.5,,,
Andorra,Les Escaldes,August,3,,,
Andorra,Les Escaldes,September,2,,,
Andorra,Les Escaldes,October,2,,,
Andorra,Les Escaldes,November,2,,,
Andorra,Les Escaldes,December,3,,,
Andorra,Les Escaldes,January,2.5,,,
Andorra,Les Escaldes,February,2.5,,,
Andorra,Les Escaldes,March,2.5,,,
Andorra,Les Escaldes,April,1.5,,,
Andorra,Les Escaldes,May,1.5,,,
Andorra,Les Escaldes,June,1.5,,,
Andorra,Sant Julià de Lòria,July,, 13°,29°,19%
Andorra,Sant Julià de Lòria,August,, 13°,29°,18%
Andorra,Sant Julià de Lòria,September,, 10°,24°,19%
Andorra,Sant Julià de Lòria,October,, 6°,20°,19%
Andorra,Sant Julià de Lòria,November,, 1°,13°,20%
Andorra,Sant Julià de Lòria,December,, -2°,10°,11%
Andorra,Sant Julià de Lòria,January,, -2°,10°,15%
Andorra,Sant Julià de Lòria,February,, -2°,10°,18%
Andorra,Sant Julià de Lòria,March,, 0°,14°,22%
Andorra,Sant Julià de Lòria,April,, 4°,17°,26%
Andorra,Sant Julià de Lòria,May,, 7°,20°,28%
Andorra,Sant Julià de Lòria,June,, 11°,25°,25%
Andorra,L'Aldosa de la Massana,July,, 12°,21°,27%
Andorra,L'Aldosa de la Massana,August,, 13°,21°,25%
Andorra,L'Aldosa de la Massana,September,, 9°,17°,25%
Andorra,L'Aldosa de la Massana,October,, 6°,14°,23%
Andorra,L'Aldosa de la Massana,November,, 2°,8°,33%
Andorra,L'Aldosa de la Massana,December,, 0°,7°,21%
Andorra,L'Aldosa de la Massana,January,, -1°,6°,30%
Andorra,L'Aldosa de la Massana,February,, -3°,4°,37%
Andorra,L'Aldosa de la Massana,March,, -1°,7°,36%
Andorra,L'Aldosa de la Massana,April,, 2°,10°,38%
Andorra,L'Aldosa de la Massana,May,, 5°,13°,40%
Andorra,L'Aldosa de la Massana,June,, 9°,17°,36%
Malta,Valletta,July,, 22°,31°,1%
Malta,Valletta,August,, 22°,31°,2%
Malta,Valletta,September,, 20°,28°,10%
Malta,Valletta,October,, 18°,25°,18%
Malta,Valletta,November,, 14°,20°,26%
Malta,Valletta,December,, 11°,17°,28%
Malta,Valletta,January,, 9°,16°,28%
Malta,Valletta,February,, 9°,16°,27%
Malta,Valletta,March,, 10°,17°,17%
Malta,Valletta,April,, 12°,20°,10%
Malta,Valletta,May,, 15°,24°,4%
Malta,Valletta,June,, 19°,28°,2%
Malta,Mdina,July,, 21°,31°,1%
Malta,Mdina,August,, 22°,31°,2%
Malta,Mdina,September,, 20°,28°,10%
Malta,Mdina,October,, 17°,24°,18%
Malta,Mdina,November,, 13°,20°,26%
Malta,Mdina,December,, 10°,16°,28%
Malta,Mdina,January,, 9°,15°,28%
Malta,Mdina,February,, 9°,15°,27%
Malta,Mdina,March,, 10°,17°,17%
Malta,Mdina,April,, 12°,19°,10%
Malta,Mdina,May,, 15°,23°,4%
Malta,Mdina,June,, 18°,28°,2%
Malta,Gozo,July,3.5, 22°,31°,1%
Malta,Gozo,August,4, 22°,31°,2%
Malta,Gozo,September,3, 20°,28°,10%
Malta,Gozo,October,2.5, 18°,25°,18%
Malta,Gozo,November,1.5, 14°,20°,26%
Malta,Gozo,December,1.5, 11°,17°,28%
Malta,Gozo,January,1.5, 9°,16°,28%
Malta,Gozo,February,1.5, 9°,16°,27%
Malta,Gozo,March,1.5, 10°,17°,17%
Malta,Gozo,April,2, 12°,20°,10%
Malta,Gozo,May,3, 15°,24°,4%
Malta,Gozo,June,3, 19°,28°,2%
Malta,Birgu,July,, 22°,32°,1%
Malta,Birgu,August,, 23°,32°,2%
Malta,Birgu,September,, 21°,29°,10%
Malta,Birgu,October,, 18°,25°,18%
Malta,Birgu,November,, 14°,21°,26%
Malta,Birgu,December,, 11°,17°,28%
Malta,Birgu,January,, 10°,16°,28%
Malta,Birgu,February,, 10°,16°,27%
Malta,Birgu,March,, 11°,18°,17%
Malta,Birgu,April,, 13°,20°,10%
Malta,Birgu,May,, 16°,25°,4%
Malta,Birgu,June,, 20°,29°,2%
Malta,Malta,July,3.5, 22°,31°,1%
Malta,Malta,August,4, 22°,31°,2%
Malta,Malta,September,3, 20°,28°,10%
Malta,Malta,October,2.5, 18°,25°,18%
Malta,Malta,November,1.5, 14°,20°,26%
Malta,Malta,December,1.5, 11°,17°,28%
Malta,Malta,January,1.5, 9°,16°,28%
Malta,Malta,February,1.5, 9°,16°,27%
Malta,Malta,March,1.5, 10°,17°,17%
Malta,Malta,April,2.5, 12°,20°,10%
Malta,Malta,May,3, 15°,24°,4%
Malta,Malta,June,3, 19°,28°,2%
Malta,Mosta,July,, 22°,31°,1%
Malta,Mosta,August,, 22°,31°,2%
Malta,Mosta,September,, 20°,28°,10%
Malta,Mosta,October,, 18°,25°,18%
Malta,Mosta,November,, 14°,20°,26%
Malta,Mosta,December,, 11°,17°,28%
Malta,Mosta,January,, 9°,16°,28%
Malta,Mosta,February,, 9°,16°,27%
Malta,Mosta,March,, 10°,17°,17%
Malta,Mosta,April,, 12°,20°,10%
Malta,Mosta,May,, 15°,24°,4%
Malta,Mosta,June,, 19°,28°,2%
Malta,Tarxien,July,, 22°,31°,1%
Malta,Tarxien,August,, 22°,31°,2%
Malta,Tarxien,September,, 20°,28°,10%
Malta,Tarxien,October,, 18°,25°,18%
Malta,Tarxien,November,, 14°,20°,26%
Malta,Tarxien,December,, 11°,17°,28%
Malta,Tarxien,January,, 9°,16°,28%
Malta,Tarxien,February,, 9°,16°,27%
Malta,Tarxien,March,, 10°,17°,17%
Malta,Tarxien,April,, 12°,20°,10%
Malta,Tarxien,May,, 15°,24°,4%
Malta,Tarxien,June,, 19°,28°,2%
Malta,Victoria,July,, 22°,31°,1%
Malta,Victoria,August,, 22°,31°,2%
Malta,Victoria,September,, 20°,28°,10%
Malta,Victoria,October,, 18°,25°,18%
Malta,Victoria,November,, 14°,20°,26%
Malta,Victoria,December,, 11°,17°,28%
Malta,Victoria,January,, 9°,16°,28%
Malta,Victoria,February,, 9°,16°,27%
Malta,Victoria,March,, 10°,17°,17%
Malta,Victoria,April,, 12°,20°,10%
Malta,Victoria,May,, 15°,24°,4%
Malta,Victoria,June,, 19°,28°,2%
Malta,Rabat,July,, 21°,31°,1%
Malta,Rabat,August,, 22°,31°,2%
Malta,Rabat,September,, 20°,28°,10%
Malta,Rabat,October,, 17°,24°,18%
Malta,Rabat,November,, 13°,20°,26%
Malta,Rabat,December,, 10°,16°,28%
Malta,Rabat,January,, 9°,15°,28%
Malta,Rabat,February,, 9°,15°,27%
Malta,Rabat,March,, 10°,17°,17%
Malta,Rabat,April,, 12°,19°,10%
Malta,Rabat,May,, 15°,23°,4%
Malta,Rabat,June,, 18°,28°,2%
Malta,Senglea,July,, 22°,32°,1%
Malta,Senglea,August,, 23°,32°,2%
Malta,Senglea,September,, 21°,29°,10%
Malta,Senglea,October,, 18°,25°,18%
Malta,Senglea,November,, 14°,21°,26%
Malta,Senglea,December,, 11°,17°,28%
Malta,Senglea,January,, 10°,16°,28%
Malta,Senglea,February,, 10°,16°,27%
Malta,Senglea,March,, 11°,18°,17%
Malta,Senglea,April,, 13°,20°,10%
Malta,Senglea,May,, 16°,25°,4%
Malta,Senglea,June,, 20°,29°,2%
Malta,Naxxar,July,, 22°,32°,1%
Malta,Naxxar,August,, 23°,32°,2%
Malta,Naxxar,September,, 21°,29°,10%
Malta,Naxxar,October,, 18°,25°,18%
Malta,Naxxar,November,, 14°,21°,26%
Malta,Naxxar,December,, 11°,17°,28%
Malta,Naxxar,January,, 10°,16°,28%
Malta,Naxxar,February,, 10°,16°,27%
Malta,Naxxar,March,, 11°,18°,17%
Malta,Naxxar,April,, 13°,20°,10%
Malta,Naxxar,May,, 16°,25°,4%
Malta,Naxxar,June,, 20°,29°,2%
Malta,Cospicua,July,3, 22°,31°,1%
Malta,Cospicua,August,2.5, 22°,31°,2%
Malta,Cospicua,September,3, 20°,28°,10%
Malta,Cospicua,October,2.5, 18°,25°,18%
Malta,Cospicua,November,2.5, 14°,20°,26%
Malta,Cospicua,December,2, 11°,17°,28%
Malta,Cospicua,January,2, 9°,16°,28%
Malta,Cospicua,February,1.5, 9°,16°,27%
Malta,Cospicua,March,1.5, 10°,17°,17%
Malta,Cospicua,April,1.5, 12°,20°,10%
Malta,Cospicua,May,1.5, 15°,24°,4%
Malta,Cospicua,June,2, 19°,28°,2%
Malta,Qrendi,July,, 21°,31°,1%
Malta,Qrendi,August,, 22°,32°,2%
Malta,Qrendi,September,, 20°,28°,10%
Malta,Qrendi,October,, 17°,25°,18%
Malta,Qrendi,November,, 14°,21°,26%
Malta,Qrendi,December,, 11°,17°,28%
Malta,Qrendi,January,, 9°,16°,28%
Malta,Qrendi,February,, 9°,16°,27%
Malta,Qrendi,March,, 10°,17°,17%
Malta,Qrendi,April,, 12°,20°,10%
Malta,Qrendi,May,, 15°,24°,4%
Malta,Qrendi,June,, 19°,28°,2%
Malta,Floriana,July,2, 22°,31°,1%
Malta,Floriana,August,2, 22°,31°,2%
Malta,Floriana,September,3, 20°,28°,10%
Malta,Floriana,October,3, 18°,25°,18%
Malta,Floriana,November,2.5, 14°,20°,26%
Malta,Floriana,December,2.5, 11°,17°,28%
Malta,Floriana,January,2, 9°,16°,28%
Malta,Floriana,February,2, 9°,16°,27%
Malta,Floriana,March,2, 10°,17°,17%
Malta,Floriana,April,2, 12°,20°,10%
Malta,Floriana,May,2, 15°,24°,4%
Malta,Floriana,June,2, 19°,28°,2%
Malta,Paola,July,, 22°,31°,1%
Malta,Paola,August,, 22°,31°,2%
Malta,Paola,September,, 20°,28°,10%
Malta,Paola,October,, 18°,25°,18%
Malta,Paola,November,, 14°,20°,26%
Malta,Paola,December,, 11°,17°,28%
Malta,Paola,January,, 9°,16°,28%
Malta,Paola,February,, 9°,16°,27%
Malta,Paola,March,, 10°,17°,17%
Malta,Paola,April,, 12°,20°,10%
Malta,Paola,May,, 15°,24°,4%
Malta,Paola,June,, 19°,28°,2%
Malta,Xaghra,July,, 22°,31°,1%
Malta,Xaghra,August,, 22°,31°,2%
Malta,Xaghra,September,, 20°,28°,10%
Malta,Xaghra,October,, 18°,25°,18%
Malta,Xaghra,November,, 14°,20°,26%
Malta,Xaghra,December,, 11°,17°,28%
Malta,Xaghra,January,, 9°,16°,28%
Malta,Xaghra,February,, 9°,16°,27%
Malta,Xaghra,March,, 10°,17°,17%
Malta,Xaghra,April,, 12°,20°,10%
Malta,Xaghra,May,, 15°,24°,4%
Malta,Xaghra,June,, 19°,28°,2%
Malta,Ħad-Dingli,July,, 20°,30°,1%
Malta,Ħad-Dingli,August,, 21°,30°,2%
Malta,Ħad-Dingli,September,, 19°,27°,10%
Malta,Ħad-Dingli,October,, 16°,24°,18%
Malta,Ħad-Dingli,November,, 13°,19°,26%
Malta,Ħad-Dingli,December,, 10°,16°,28%
Malta,Ħad-Dingli,January,, 8°,15°,28%
Malta,Ħad-Dingli,February,, 8°,15°,27%
Malta,Ħad-Dingli,March,, 9°,16°,17%
Malta,Ħad-Dingli,April,, 11°,19°,10%
Malta,Ħad-Dingli,May,, 14°,23°,4%
Malta,Ħad-Dingli,June,, 18°,27°,2%
Malta,Attard,July,, 22°,31°,1%
Malta,Attard,August,, 22°,31°,2%
Malta,Attard,September,, 20°,28°,10%
Malta,Attard,October,, 18°,25°,18%
Malta,Attard,November,, 14°,20°,26%
Malta,Attard,December,, 11°,17°,28%
Malta,Attard,January,, 9°,16°,28%
Malta,Attard,February,, 9°,16°,27%
Malta,Attard,March,, 10°,17°,17%
Malta,Attard,April,, 12°,20°,10%
Malta,Attard,May,, 15°,24°,4%
Malta,Attard,June,, 19°,28°,2%
Malta,Xewkija,July,, 22°,31°,1%
Malta,Xewkija,August,, 22°,31°,2%
Malta,Xewkija,September,, 20°,28°,10%
Malta,Xewkija,October,, 18°,25°,18%
Malta,Xewkija,November,, 14°,20°,26%
Malta,Xewkija,December,, 11°,17°,28%
Malta,Xewkija,January,, 9°,16°,28%
Malta,Xewkija,February,, 9°,16°,27%
Malta,Xewkija,March,, 10°,17°,17%
Malta,Xewkija,April,, 12°,20°,10%
Malta,Xewkija,May,, 15°,24°,4%
Malta,Xewkija,June,, 19°,28°,2%
Malta,Mgarr,July,, 22°,31°,1%
Malta,Mgarr,August,, 22°,31°,2%
Malta,Mgarr,September,, 20°,28°,10%
Malta,Mgarr,October,, 18°,25°,18%
Malta,Mgarr,November,, 14°,20°,26%
Malta,Mgarr,December,, 11°,17°,28%
Malta,Mgarr,January,, 9°,16°,28%
Malta,Mgarr,February,, 9°,16°,27%
Malta,Mgarr,March,, 10°,17°,17%
Malta,Mgarr,April,, 12°,20°,10%
Malta,Mgarr,May,, 15°,24°,4%
Malta,Mgarr,June,, 19°,28°,2%
Malta,Gharb,July,, 22°,31°,1%
Malta,Gharb,August,, 22°,31°,2%
Malta,Gharb,September,, 20°,28°,10%
Malta,Gharb,October,, 18°,25°,18%
Malta,Gharb,November,, 14°,20°,26%
Malta,Gharb,December,, 11°,17°,28%
Malta,Gharb,January,, 9°,16°,28%
Malta,Gharb,February,, 9°,16°,27%
Malta,Gharb,March,, 10°,17°,17%
Malta,Gharb,April,, 12°,20°,10%
Malta,Gharb,May,, 15°,24°,4%
Malta,Gharb,June,, 19°,28°,2%
Malta,Ħaż-Żabbar,July,, 21°,31°,1%
Malta,Ħaż-Żabbar,August,, 22°,32°,2%
Malta,Ħaż-Żabbar,September,, 20°,28°,10%
Malta,Ħaż-Żabbar,October,, 17°,25°,18%
Malta,Ħaż-Żabbar,November,, 14°,21°,26%
Malta,Ħaż-Żabbar,December,, 11°,17°,28%
Malta,Ħaż-Żabbar,January,, 9°,16°,28%
Malta,Ħaż-Żabbar,February,, 9°,16°,27%
Malta,Ħaż-Żabbar,March,, 10°,17°,17%
Malta,Ħaż-Żabbar,April,, 12°,20°,10%
Malta,Ħaż-Żabbar,May,, 15°,24°,4%
Malta,Ħaż-Żabbar,June,, 19°,28°,2%
Malta,Kalkara,July,, 22°,32°,1%
Malta,Kalkara,August,, 23°,32°,2%
Malta,Kalkara,September,, 21°,29°,10%
Malta,Kalkara,October,, 18°,25°,18%
Malta,Kalkara,November,, 14°,21°,26%
Malta,Kalkara,December,, 11°,17°,28%
Malta,Kalkara,January,, 10°,16°,28%
Malta,Kalkara,February,, 10°,16°,27%
Malta,Kalkara,March,, 11°,18°,17%
Malta,Kalkara,April,, 13°,20°,10%
Malta,Kalkara,May,, 16°,25°,4%
Malta,Kalkara,June,, 20°,29°,2%
Malta,San Lawrenz,July,, 22°,31°,1%
Malta,San Lawrenz,August,, 22°,31°,2%
Malta,San Lawrenz,September,, 20°,28°,10%
Malta,San Lawrenz,October,, 18°,25°,18%
Malta,San Lawrenz,November,, 14°,20°,26%
Malta,San Lawrenz,December,, 11°,17°,28%
Malta,San Lawrenz,January,, 9°,16°,28%
Malta,San Lawrenz,February,, 9°,16°,27%
Malta,San Lawrenz,March,, 10°,17°,17%
Malta,San Lawrenz,April,, 12°,20°,10%
Malta,San Lawrenz,May,, 15°,24°,4%
Malta,San Lawrenz,June,, 19°,28°,2%
Malta,Mellieha,July,2, 22°,31°,1%
Malta,Mellieha,August,2, 22°,31°,2%
Malta,Mellieha,September,3, 20°,28°,10%
Malta,Mellieha,October,3, 18°,25°,18%
Malta,Mellieha,November,2.5, 14°,20°,26%
Malta,Mellieha,December,2, 11°,17°,28%
Malta,Mellieha,January,2, 9°,16°,28%
Malta,Mellieha,February,1.5, 9°,16°,27%
Malta,Mellieha,March,2, 10°,17°,17%
Malta,Mellieha,April,2, 12°,20°,10%
Malta,Mellieha,May,2, 15°,24°,4%
Malta,Mellieha,June,2, 19°,28°,2%
Malta,Mqabba,July,, 21°,31°,1%
Malta,Mqabba,August,, 22°,32°,2%
Malta,Mqabba,September,, 20°,28°,10%
Malta,Mqabba,October,, 17°,25°,18%
Malta,Mqabba,November,, 14°,21°,26%
Malta,Mqabba,December,, 11°,17°,28%
Malta,Mqabba,January,, 9°,16°,28%
Malta,Mqabba,February,, 9°,16°,27%
Malta,Mqabba,March,, 10°,17°,17%
Malta,Mqabba,April,, 12°,20°,10%
Malta,Mqabba,May,, 15°,24°,4%
Malta,Mqabba,June,, 19°,28°,2%
Malta,Nadur,July,, 22°,31°,1%
Malta,Nadur,August,, 22°,31°,2%
Malta,Nadur,September,, 20°,28°,10%
Malta,Nadur,October,, 18°,25°,18%
Malta,Nadur,November,, 14°,20°,26%
Malta,Nadur,December,, 11°,17°,28%
Malta,Nadur,January,, 9°,16°,28%
Malta,Nadur,February,, 9°,16°,27%
Malta,Nadur,March,, 10°,17°,17%
Malta,Nadur,April,, 12°,20°,10%
Malta,Nadur,May,, 15°,24°,4%
Malta,Nadur,June,, 19°,28°,2%
Malta,Siggiewi,July,, 22°,31°,1%
Malta,Siggiewi,August,, 22°,31°,2%
Malta,Siggiewi,September,, 20°,28°,10%
Malta,Siggiewi,October,, 18°,25°,18%
Malta,Siggiewi,November,, 14°,20°,26%
Malta,Siggiewi,December,, 11°,17°,28%
Malta,Siggiewi,January,, 9°,16°,28%
Malta,Siggiewi,February,, 9°,16°,27%
Malta,Siggiewi,March,, 10°,17°,17%
Malta,Siggiewi,April,, 12°,20°,10%
Malta,Siggiewi,May,, 15°,24°,4%
Malta,Siggiewi,June,, 19°,28°,2%
Malta,Hamrun,July,, 22°,31°,1%
Malta,Hamrun,August,, 22°,31°,2%
Malta,Hamrun,September,, 20°,28°,10%
Malta,Hamrun,October,, 18°,25°,18%
Malta,Hamrun,November,, 14°,20°,26%
Malta,Hamrun,December,, 11°,17°,28%
Malta,Hamrun,January,, 9°,16°,28%
Malta,Hamrun,February,, 9°,16°,27%
Malta,Hamrun,March,, 10°,17°,17%
Malta,Hamrun,April,, 12°,20°,10%
Malta,Hamrun,May,, 15°,24°,4%
Malta,Hamrun,June,, 19°,28°,2%
Malta,San Gwann,July,, 22°,31°,1%
Malta,San Gwann,August,, 22°,31°,2%
Malta,San Gwann,September,, 20°,28°,10%
Malta,San Gwann,October,, 18°,25°,18%
Malta,San Gwann,November,, 14°,20°,26%
Malta,San Gwann,December,, 11°,17°,28%
Malta,San Gwann,January,, 9°,16°,28%
Malta,San Gwann,February,, 9°,16°,27%
Malta,San Gwann,March,, 10°,17°,17%
Malta,San Gwann,April,, 12°,20°,10%
Malta,San Gwann,May,, 15°,24°,4%
Malta,San Gwann,June,, 19°,28°,2%
Malta,Marsaxlokk,July,, 21°,31°,1%
Malta,Marsaxlokk,August,, 22°,32°,2%
Malta,Marsaxlokk,September,, 20°,28°,10%
Malta,Marsaxlokk,October,, 17°,25°,18%
Malta,Marsaxlokk,November,, 14°,21°,26%
Malta,Marsaxlokk,December,, 11°,17°,28%
Malta,Marsaxlokk,January,, 9°,16°,28%
Malta,Marsaxlokk,February,, 9°,16°,27%
Malta,Marsaxlokk,March,, 10°,17°,17%
Malta,Marsaxlokk,April,, 12°,20°,10%
Malta,Marsaxlokk,May,, 15°,24°,4%
Malta,Marsaxlokk,June,, 19°,28°,2%
Malta,Għasri,July,, 22°,31°,1%
Malta,Għasri,August,, 22°,31°,2%
Malta,Għasri,September,, 20°,28°,10%
Malta,Għasri,October,, 18°,25°,18%
Malta,Għasri,November,, 14°,20°,26%
Malta,Għasri,December,, 11°,17°,28%
Malta,Għasri,January,, 9°,16°,28%
Malta,Għasri,February,, 9°,16°,27%
Malta,Għasri,March,, 10°,17°,17%
Malta,Għasri,April,, 12°,20°,10%
Malta,Għasri,May,, 15°,24°,4%
Malta,Għasri,June,, 19°,28°,2%
Malta,Msida,July,, 22°,32°,1%
Malta,Msida,August,, 23°,32°,2%
Malta,Msida,September,, 21°,29°,10%
Malta,Msida,October,, 18°,25°,18%
