Country,Destination,Description,Architecture,Nature,Shopping,Fishing,Hiking,Outdoor Recreation,Adventure,Beaches,Camping,Caves,Museums,National Parks,Art,Desert,Coral reef,Skiing,Snowboarding,Winter sports,Wildlife,Penguin,Glacier,Ecotourism,Snorkeling,Koala,Surfing,Nature reserve,Volcano,Sailing,Scuba diving,Theaters,Elephant,Safari,Jaguar,Casinos,Kitesurfing,Windsurfing,Birdwatching,Rainforest,Nightlife,Whale watching,Reindeer,Gorilla,Kayaking,Polar bear,Hot spring,Tiger,Yoga,Orangutan,Golf,Rafting,Autumn leaf color,Dolphin,Wine tasting,Climbing,Paragliding,Bungee jumping,Whale shark,Alpine skiing,Historic site
India,Hampi,"Hampi is an ancient village in the south Indian state of Karnataka. It’s dotted with numerous ruined temple complexes from the Vijayanagara Empire. On the south bank of the River Tungabhadra is the 7th-century Hindu Virupaksha Temple, near the revived Hampi Bazaar. A carved stone chariot stands in front of the huge Vittala Temple site. Southeast of Hampi, Daroji Bear Sanctuary is home to the Indian sloth bear.",yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,New Delhi,"New Delhi is an urban district of Delhi which serves as the capital of India and seat of all three branches of the Government of India.
The foundation stone of the city was laid by Emperor George V during the Delhi Durbar of 1911. It was designed by British architects, Sir Edwin Lutyens and Sir Herbert Baker. The new capital was inaugurated on 13 February 1931, by Viceroy and Governor-General of India Lord Irwin.
Although colloquially Delhi and New Delhi are used interchangeably to refer to the National Capital Territory of Delhi, these are two distinct entities, with New Delhi forming a small part of Delhi. The National Capital Region is a much larger entity comprising the entire NCT along with adjoining districts in neighbouring states. Wikipedia",yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Tirupati,"Tirupati is a city in the Indian state of Andhra Pradesh. Its Sri Venkateswara Temple sits atop one of the the 7 peaks of Tirumala Hills, attracting scores of Hindu pilgrims. Sri Venkateswara National Park, home to the temple, also contains the Sri Venkateswara Zoological Park with lions and primates. Nearby, next to a waterfall and cave believed to be sacred, Sri Kapileswara Swamy Temple is dedicated to Lord Shiva.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Jodhpur,"Jodhpur is a city in the Thar Desert of the northwest Indian state of Rajasthan. Its 15th-century Mehrangarh Fort is a former palace that’s now a museum, displaying weapons, paintings and elaborate royal palanquins (sedan chairs). Set on on a rocky outcrop, the fort overlooks the walled city, where many buildings are painted the city’s iconic shade of blue.  Northeast of the fort is the Jaswant Thada, a white marble mausoleum in a lakeside setting. On a hilltop to the southeast, the domed, marble Umaid Bhawan Palace is the residence of Jodhpur's maharaja. It has gardens, a public museum filled with furniture, weapons and china, a display of classic cars and a luxury hotel. The old city, the area around the iconic Ghanta Ghar clock tower, is home to a market where stallholders sell spices, food, clothing and jewelry. The city's well-known annual Gangaur Festival focuses on women's rituals.",yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Ayodhya,"Ayodhya is a city and the administrative headquarters of Faizabad district of Uttar Pradesh, India. It shares municipal corporation with its neighbouring twin town of Faizabad. The city is identified with the legendary city of Ayodhya, and as such, is the birthplace of Rama and setting of the epic Ramayana. The accuracy of this identification is central to the Ayodhya dispute: modern scholars variously believe that the present-day Ayodhya is same as the legendary Ayodhya, or that the legendary city is a mythical place that came to be identified with the present-day Ayodhya only during the Gupta period around the 4th-5th century CE.
The present-day city is identified as the location of Saketa, which was an important city of the Kosala mahajanapada in the first millennium BCE, and later served as its capital. The early Buddhist and Jain canonical texts mention that the religious leaders Gautama Buddha and Mahavira visited and lived in the city. The Jain texts also describe it as the birthplace of five tirthankaras namely, Rishabhanatha, Ajitanatha, Abhinandananatha, Sumatinath and Anantnath, and associate it with the legendary chakravartins. Wikipedia",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Mumbai,"Mumbai (formerly called Bombay) is a densely populated city on India’s west coast. A financial center, it's India's largest city. On the Mumbai Harbour waterfront stands the iconic Gateway of India stone arch, built by the British Raj in 1924. Offshore, nearby Elephanta Island holds ancient cave temples dedicated to the Hindu god Shiva. The city's also famous as the heart of the Bollywood film industry.Landmark British colonial buildings include Chhatrapati Shivaj Terminus, an ornate train station melding Gothic Revival and Mughal architecture. The castlelike Bombay High Court features octagonal turrets. Immense Chhatrapati Shivaji Maharaj Vastu Sangrahalaya is a museum displaying ethnographic and natural history collections. Chor Bazaar is known for its antiques, while Mangaldas Market has textiles, and Zaveri Bazaar is filled with jewelry shops. Marine Drive terminates at popular Chaupati Beach. On the city’s outskirts in Sanjay Gandhi National Park is Kanheri, a cave system carved by Buddhists beginning in the 1st century B.C.",yes,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Bengaluru,"Bengaluru (also called Bangalore) is the capital of India's southern Karnataka state. The center of India's high-tech industry, the city is also known for its parks and nightlife. By Cubbon Park, Vidhana Soudha is a Neo-Dravidian legislative building. Former royal residences include 19th-century Bangalore Palace, modeled after England’s Windsor Castle, and Tipu Sultan’s Summer Palace, an 18th-century teak structure.Krishnarajendra Market is a vibrant, old-fashioned bazaar, with fruit and flower vendors. The Lalbagh Botanical Garden has a traditional glass house and tropical flora. Modern and contemporary Indian art is on view at National Gallery of Modern Art. Karnataka Chitrakala Parishath, with 13 museums, is known for local traditional art. Dodda Basavana Gudi (“Bull Temple”) is an example of 16th-century Dravidian architecture. The 1995 Iskcon Krishna Temple combines modern and ancient architectural styles. Just outside the city is Bannerghatta Biological Park, home to tigers, lions and elephants.",yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Chennai,"Chennai, on the Bay of Bengal in eastern India, is the capital of the state of Tamil Nadu. The city is home to Fort St. George, built in 1644 and now a museum showcasing the city’s roots as a British military garrison and East India Company trading outpost, when it was called Madras. Religious sites include Kapaleeshwarar Temple, adorned with carved and painted gods, and St. Mary’s, a 17th-century Anglican church.The Government Museum houses Indian art and archaeological objects, notably bronze sculptures from the medieval Chola dynasty. Wildlife and plants can be seen at Guindy National Park, Arignar Anna Zoological Park and the Theosophical Society’s gardens. Food stalls line Marina Beach, a popular spot for walking and flying kites. The Kalakshetra Foundation – comprising an art museum and several theaters – is one of many venues presenting Tamil performing arts throughout the year.",yes,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Ujjain,"Ujjain is an ancient city beside the Kshipra River in the central Indian state of Madhya Pradesh. An important Hindu pilgrimage destination, it’s known for the centuries-old Mahakaleshwar Temple, a towering structure with a distinctively ornate roof. Nearby, Bade Ganesh Temple houses a colorful statue of Ganesh, the elephant-headed Hindu deity. Harsiddhi Temple features a pair of tall dark pillars studded with lamps.The large Chintaman Ganesh Temple has a Ganesh idol, and features carved pillars in its assembly hall. Ram Ghat is an ancient bathing place that attracts devotees during the Kumbh Mela festival. North of town, worshippers leave offerings of alcohol at the shrine in Kal Bhairav Temple, which has traces of Malwa-style miniature paintings. Nearby, on a small hill, the Mangalnath Temple is dedicated to the planet Mars. The Ved Shala observatory, west of the center, was built in the 18th century and features instruments used for astronomical calculations. The ISKCON Temple is a huge marble complex surrounded by landscaped gardens.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Konark,"Konark is a medium town in the Puri district in the state of Odisha, India. It lies on the coast by the Bay of Bengal, 60 kilometers from the capital of the state, Bhubaneswar. It is the site of the 7th-century Sun Temple, also known as the Black Pagoda, built in black granite during the reign of Narasimhadeva-I. The temple is a World Heritage Site. The temple is now mostly in ruins, and a collection of its sculptures is housed in the Sun Temple Museum, which is run by the Archaeological Survey of India.
Konark is also home to an annual dance festival called Konark Dance Festival, devoted to classical Indian dance forms, including the traditional classical dance of Odisha, Odissi. In February 2019, the Konark Dance Festival will be hosting its 33rd edition. The state government also organising annual Konark Festival and International Sand Art Festival at Chandrabhaga Beach of Konark.
On 16 February 1980, Konark lay directly on the path of a total solar eclipse. Wikipedia",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Mahabalipuram,"Mamallapuram, or Mahabalipuram, is a town on a strip of land between the Bay of Bengal and the Great Salt Lake, in the south Indian state of Tamil Nadu. It’s known for its temples and monuments built by the Pallava dynasty in the 7th and 8th centuries. The seafront Shore Temple comprises 3 ornate granite shrines. Krishna’s Butter Ball is a massive boulder balanced on a small hill near the Ganesha Ratha stone temple.Inland, the Pancha Rathas are a group of temples intricately carved from single rocks. Arjuna’s Penance, also known as the “Descent of the Ganges,” is a huge relief carving depicting an episode from the Mahabharata epic, with animals and gods. Mamallapuram is also home to several rock-carved cave temples, including the 7th-century hilltop Varaha Cave. The Government College of Architecture and Sculpture includes a museum documenting rock architecture in India. Farther north, Tiger Cave is believed to have hosted cultural events centuries ago.",yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Kanchipuram,"Kanchipuram, also known as Kanchi, is an ancient city in southern India’s Tamil Nadu state. Considered a holy pilgrimage site by Hindus, it is home to many temples. The 8th-century Kailasanathar Temple, dedicated to Lord Shiva, is a vast complex with intricate sandstone carvings. Ulagalanda Perumal Temple houses a huge statue of Lord Vishnu. A mango tree in the Ekambareswarar Temple courtyard is thought to be sacred.Nearby, Kanchi Kudil is a century-old house displaying original furniture and local arts and crafts. The region is known for its silk weaving, with many silk and sari shops dotting Gandhi Road. To the southeast, Kolavai Lake is backed by mountains and lush landscape, and offers boat rides. South of the city, and close to the man-made Madurantakam Lake, marshy Vedanthangal Bird Sanctuary is a haven for waterbirds and migrating species including herons, egrets and grey wagtails. To the east, along the coast, are the ancient rock-cut monuments of Mahabalipuram (also spelled Mamallapuram).",yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Ellora Caves,Grand archeological site from the 6th to 10th century featuring religious monuments cut into rock.,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Gwalior,"Gwalior is a city in the central Indian state of Madhya Pradesh. It's known for its palaces and temples, including the Sas Bahu Ka Mandir intricately carved Hindu temple. Ancient Gwalior Fort occupies a sandstone plateau overlooking the city and is accessed via a winding road lined with sacred Jain statues. Within the fort’s high walls is the 15th-century Gujari Mahal Palace, now an archaeological museum.Also in the fort complex is the towering Teli Ka Mandir Hindu temple and the Man Mandir Palace. The latter has a brightly tiled exterior housing what was once the site of Mughal prison cells. To the south, grand Jai Vilas Palace was built for the ruling Scindia dynasty in the 19th century and remains their residence today. The palace’s Scindia Museum displays huge chandeliers, antique furniture and weapons. Nearby, Gandhi Prani Udhyan zoo is home to hippos, tigers and monkeys. Sarod Ghar, on the western outskirts of town, is a museum devoted to Indian classical music, with live concerts and displays of traditional instruments.",yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Haridwar,"Haridwar is an ancient city and important Hindu pilgrimage site in North India's Uttarakhand state, where the River Ganges exits the Himalayan foothills. The largest of several sacred ghats (bathing steps), Har Ki Pauri hosts a nightly Ganga Aarti (river-worshipping ceremony) in which tiny flickering lamps are floated off the steps. Worshipers fill the city during major festivals including the annual Kanwar Mela.Accessible by cable car or steps, the ornate hilltop temples of Mansa Devi and Chandi Devi offer panoramic views of the plains from opposite sides of the Ganges. Another important pilgrimage temple is Maya Devi by Birla Ghat. Daksheswara Mahadev Temple lies amid havelis (mansions), sacred ashrams and an ancient banyan tree just south of Haridwar in the town of Kankhal. Near Haridwar, Rajaji National Park in the Shivalik Hills offers jungle safaris to see tigers, elephants, leopards and more than 300 species of birds, plus rafting on the River Ganges.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Kedarnath,"Kedarnath is a town in the Indian state of Uttarakhand and has gained importance because of Kedarnath Temple. It is a nagar panchayat in Rudraprayag district. The most remote of the four Chota Char Dham sites, Kedarnath is located in the Himalayas, about 3,583 m above sea level near Chorabari Glacier, the head of river Mandakini, and is flanked by snow-capped peaks, most prominently Kedarnath mountain. The nearest road head is at Gaurikund.
The town suffered extensive destruction during June 2013 from flash floods caused by torrential rains in Uttarakhand state. Wikipedia",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
India,Pune,"Pune is a sprawling city in the western Indian state of Maharashtra. It was once the base of the Peshwas (prime ministers) of the Maratha Empire, which lasted from 1674 to 1818. It's known for the grand Aga Khan Palace, built in 1892 and now a memorial to Mahatma Gandhi, whose ashes are preserved in the garden. The 8th-century Pataleshwar Cave Temple is dedicated to the Hindu god Shiva.Saras Baug Park features a Ganesh temple, dedicated to the elephant-headed god. Parvati Hill, topped by another temple complex and the Peshwa Museum, affords panoramic views of Pune. Shaniwar Wada, an 18th-century fortified palace, was once the seat of Maratha Peshwas. The Raja Dinkar Kelkar Museum displays a whimsical collection of Indian lamps, puppets, hookah pipes and other arts and crafts. The Darshan Museum tells the story of modern Indian saint and scholar Sadhu Vaswani through multimedia exhibits and a light and sound show. The city also contains a commercial ashram retreat, the OSHO International Meditation Resort.",yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
India,Kolkata,"Kolkata (formerly Calcutta) is the capital of India's West Bengal state. Founded as an East India Company trading post, it was India's capital under the British Raj from 1773–1911. Today it’s known for its grand colonial architecture, art galleries and cultural festivals. It’s also home to Mother House, headquarters of the Missionaries of Charity, founded by Mother Teresa, whose tomb is on site.B.B.D. Bagh (formerly Dalhousie Square) is home to colonial-era landmarks like St. Andrew’s Church with its tall white steeple. It's also a setting for the General Post Office, featuring a monumental rotunda, and the 18th-century Writers’ Building, which housed the East India Company’s administrative offices. Nearby is the Maidan, a sprawling park with the Eden Gardens cricket stadium, a golf course and the white-marble Victoria Memorial, containing several art galleries. Other notable sites include the Indian Museum, displaying fossils and Mughal antiques, and Kalighat Kali Temple, dedicated to Kolkata’s Hindu patron goddess.",yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
