Country,WhenToVisit,CountryCode,CountryDescription,WikiURL,Flag,lonelyPlanetURL,Currency,Capital,CallingCode,Region,Timezones,Languages,PlugSocketVoltage
Albania,"Most visitors arrive in summer (Jul–Aug), particularly at the beaches. The Mediterranean climate varies by region, but is generally characterized by hot, dry summers and mild, wet winters. The Tirana International Film Festival (Nov/Dec) features international and Albanian work.
",al,"Albania, officially the Republic of Albania (Albanian: Republika e Shqipërisë, pronounced [ɾɛpuˈblika ɛ ʃcipəˈɾiːsə]), is a country in Southeast Europe on the Adriatic and Ionian Sea within the Mediterranean Sea. It shares land borders with Montenegro to the northwest, Kosovo to the northeast, North Macedonia to the east, Greece to the south and maritime borders with Greece, Montenegro and Italy to the west.",https://en.wikipedia.org/wiki/Albania,http://cdn.countryflags.com/thumbs/albania/flag-square-250.png,https://www.lonelyplanet.com/albania,Albanian lek,Tirana,355,Europe (Southern Europe),UTC+01:00,Albanian,230 V @ 50 Hz plug C / F
Moldova,"Peak travel to Moldova's cities, wineries and archaeological sites is Apr–Oct, the warmest part of the year. Winter (Dec–Feb) often sees freezing temperatures and snow. Cellars open their doors for special tours and tastings during the popular National Wine Day festival (first weekend in Oct).
",md,"Moldova, officially the Republic of Moldova (Romanian: Republica Moldova), is a landlocked country in Eastern Europe, bordered by Romania to the west and Ukraine to the north, east, and south. The capital city is Chișinău.",https://en.wikipedia.org/wiki/Moldova,http://cdn.countryflags.com/thumbs/moldova/flag-square-250.png,https://www.lonelyplanet.com/moldova,Moldovan leu,Chișinău,373,Europe (Eastern Europe),UTC+02:00,Romanian,230 V @ 50 Hz plug C / F
Croatia,"Croatia's peak season (Jul–Aug) is also its warmest. Its coast has a Mediterranean climate (warm summers and mild winters), while the interior's Continental climate causes hot summers and winter snow. Popular events include the Boat Show (Split, Apr); the Dance Week Festival (Zagreb, May–Jun); the indie-themed INmusic Festival (Zagreb, Jun); the longstanding Pula Film Festival (Jul); the Dubrovnik Summer Festival (Jul–Aug), with theatre, dance, and music shows; and the St. Martin's Day wine harvest (wine regions, Nov).
",hr,"Croatia, officially the Republic of Croatia (Croatian: Republika Hrvatska, listen ), is a country at the crossroads of Central and Southeast Europe, on the Adriatic Sea. It borders Slovenia to the northwest, Hungary to the northeast, Serbia to the east, Bosnia and Herzegovina, and Montenegro to the southeast, sharing a maritime border with Italy. Its capital, Zagreb, forms one of the country's primary subdivisions, along with twenty counties. Croatia has an area of 56,594 square
kilometres (21,851 square miles) and a population of 4.28 million, most of whom are Roman Catholics.",https://en.wikipedia.org/wiki/Croatia,http://cdn.countryflags.com/thumbs/croatia/flag-square-250.png,https://www.lonelyplanet.com/croatia,Croatian kuna,Zagreb,385,Europe (Southern Europe),UTC+01:00,Croatian,230 V @ 50 Hz plug C / F
Ireland,"Most visitors arrive in summer (Jul–Aug), when the weather is mild. Winters (Nov–Mar) are cold and wet. Local events include the Cathedral Quarter Arts Festival (May) and the Belfast International Arts Festival (Oct). The Dublin Fringe and Theatre festivals (Sep–Oct) feature contemporary art, theatre and music.
",ie,"Ireland is an island in the North Atlantic. It is separated from Great Britain to its east by the North Channel, the Irish Sea, and St George's Channel. Ireland is the second-largest island of the British Isles, the third-largest in Europe, and the twentieth-largest on Earth.Geopolitically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom. In 2011, the
population of Ireland was about 6.6 million, ranking it the second-most populous island in Europe after Great Britain. Just under 4.8 million live in the Republic of Ireland and just over 1.8 million live in Northern Ireland.The geography of Ireland comprises relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland. Its lush vegetation is a product of its mild but changeable climate which is free of extremes in temperature. Much of Ireland was
woodland until the end of the Middle Ages. Today, woodland makes up about 10% of the island, compared with a European average of over 33%, and most of it is non-native conifer plantations. There are twenty-six extant land mammal species native to Ireland. The Irish climate is influenced by the Atlantic Ocean and thus very moderate, and winters are milder than expected for such a northerly area, although summers are cooler than those in continental Europe. Rainfall and cloud cover are
abundant.",https://en.wikipedia.org/wiki/Ireland,http://cdn.countryflags.com/thumbs/ireland/flag-square-250.png,https://www.lonelyplanet.com/ireland,Euro,Dublin,353,Europe (Northern Europe),UTC,"Irish, English",230 V @ 50 Hz plug G
Iceland,"Iceland has a sub-polar climate. The peak travel period is during summer (Jun–Aug), with mild weather and nearly 24 hours of daylight. Thjodhatid (Aug, Heimaey Island) is an outdoor music festival with bonfires and fireworks. The Iceland Airwaves music festival (Nov, Reykjavik) features world-famous artists and Icelandic bands. Winter (Dec–Feb) is cold, dark and rainy, with strong wind. The Winter Lights Festival (Feb, Reykjavik) has illuminated landmarks and cultural events.
",is,"Iceland is a Nordic island country in the North Atlantic, with a population of 360,390 and an area of 103,000 km2 (40,000 sq mi), making it the most sparsely populated country in Europe. The capital and largest city is Reykjavík, with Reykjavík and the surrounding areas in the southwest of the country being home to over two-thirds of the population. Iceland is volcanically and geologically active. The interior consists of a plateau characterised by sand and lava fields, mountains, and
glaciers, and many glacial rivers flow to the sea through the lowlands. Iceland is warmed by the Gulf Stream and has a temperate climate, despite a high latitude almost entirely outside the Arctic Circle. Its high latitude and marine influence keep summers chilly, with most of the archipelago having a tundra climate.",https://en.wikipedia.org/wiki/Iceland,http://cdn.countryflags.com/thumbs/iceland/flag-square-250.png,https://www.lonelyplanet.com/iceland,Icelandic króna,Reykjavík,354,Europe (Northern Europe),UTC,Icelandic,230 V @ 50 Hz plug C / F
Norway,"Most visitors come May–Aug, a period marked by mild days and long periods of sunlight. This is followed by months of cold weather, snow and little daylight (Nov–Mar). Rørosmartnan (Feb) is a winter festival dating back to 1644. The Bergen International Festival (May–Jun) brings a diverse range of dance, music and theatrical events to the city.

",no,"Norway, officially the Kingdom of Norway, is a Nordic country in Northwestern Europe whose territory comprises of the western and northernmost portion of the Scandinavian Peninsula; the remote island of Jan Mayen and the archipelago of Svalbard are also part of the Kingdom of Norway. The Antarctic Peter I Island and the sub-Antarctic Bouvet Island are dependent territories and thus not considered part of the kingdom. Norway also lays claim to a section of Antarctica known as Queen Maud
Land.",https://en.wikipedia.org/wiki/Norway,http://cdn.countryflags.com/thumbs/norway/flag-square-250.png,https://www.lonelyplanet.com/norway,Norwegian krone,Oslo,47,Europe (Northern Europe),UTC+01:00,"Norwegian, Norwegian Bokmål, Norwegian Nynorsk",230 V @ 50 Hz plug C / F
Denmark,"Denmark has a seasonal temperate climate with mild to warm weather May–Aug, the peak travel season. The Roskilde Festival (Jun–Jul) is a huge music gathering with rock and pop acts. The Copenhagen Jazz Festival (Jul), a major musical event, is held in the city’s streets and historic buildings. The Aarhus Festival (Aug–Sep) features diverse art and cultural events around the city. Winter (Dec–Feb) is generally cold, dark and snowy. Outdoor Christmas markets (Nov–Jan) are held in the historic city centers.

",dk,"Denmark, officially the Kingdom of Denmark,  is a Nordic country. Denmark proper, which is the southernmost of the Scandinavian countries, consists of a peninsula, Jutland, and an archipelago of 443 named islands, with the largest being Zealand, Funen and the North Jutlandic Island. The islands are characterised by flat, arable land and sandy coasts, low elevation and a temperate climate. The southernmost of the Scandinavian nations, Denmark lies southwest of Sweden and south of Norway,
and is bordered to the south by Germany. The Kingdom of Denmark also includes two autonomous territories in the North Atlantic Ocean: the Faroe Islands and Greenland. Denmark has a total area of 42,924 km2 (16,573 sq mi), land area of 42,394 km2 (16,368 sq mi), and the total area including Greenland and the Faroe Islands is 2,210,579 km2 (853,509 sq mi), and a population of 5.8 million (as of 2019).The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the
struggle for control of the Baltic Sea. Denmark, Sweden, and Norway were ruled together under one sovereign ruler in the Kalmar Union, established in 1397 and ending with Swedish secession in 1523. The areas of Denmark and Norway remained under the same monarch until 1814, Denmark–Norway. Beginning in the 17th century, there were several devastating wars with the Swedish Empire, ending with large cessions of territory to Sweden. After the Napoleonic Wars, Norway was ceded to Sweden, while
Denmark kept the Faroe Islands, Greenland, and Iceland. In the 19th century there was a surge of nationalist movements, which were defeated in the First Schleswig War. After the Second Schleswig War in 1864, Denmark lost the Duchy of Schleswig to Prussia. Denmark remained neutral during World War I, however, in 1920 the northern half of Schleswig became Danish again. In April 1940, a German invasion saw brief military skirmishes while the Danish resistance movement was active from 1943 until the
German surrender in May 1945. An industrialised exporter of agricultural produce in the second half of the 19th century, Denmark introduced social and labour-market reforms in the early 20th century that created the basis for the present welfare state model with a highly developed mixed economy.",https://en.wikipedia.org/wiki/Denmark,http://cdn.countryflags.com/thumbs/denmark/flag-square-250.png,https://www.lonelyplanet.com/denmark,Danish krone,Copenhagen,45,Europe (Northern Europe),"UTC-04:00, UTC-03:00, UTC-01:00, UTC, UTC+01:00",Danish,230 V @ 50 Hz plug C / E / F / K
Finland,"Finland has a mainly subarctic climate. Mild weather and long daylight hours May–Aug coincide with the peak travel period in southern and central Finland. Key events include Tampere Film Festival (Mar); Savonlinna Opera Festival (Jul–Aug), held in its medieval castle; and the Helsinki Festival (Aug–Sep), bringing music, dance and art to diverse points around the city. In northern Lapland, the peak travel period is during the cold months Oct–May, with the Northern Lights and a ski season Nov–Mar.
",fi,"Finland, officially the Republic of Finland (Finnish: Suomen tasavalta, Swedish: Republiken Finland (listen to all)), is a Nordic country in Northern Europe bordering the Baltic Sea, Gulf of Bothnia, and Gulf of Finland, between Norway to the north, Sweden to the northwest, and Russia to the east. The capital and largest city is Helsinki. Other major cities are Espoo, Vantaa, Tampere, Oulu and Turku.",https://en.wikipedia.org/wiki/Finland,http://cdn.countryflags.com/thumbs/finland/flag-square-250.png,https://www.lonelyplanet.com/finland,Euro,Helsinki,358,Europe (Northern Europe),UTC+02:00,"Finnish, Swedish",230 V @ 50 Hz plug C / F
FaroeIslands,"Jun–Aug is peak season for travelers to hike, kayak, fish and bird-watch around the islands. During these mild, wet summer months the Faroes experience up to 19 hours of daylight. The multivenue Summartónar Festival of Classical & Contemporary Music (Jun–Aug) celebrates Faroese music. Atlantic Ocean storms are common during the mild, wet and dark winter months (Nov–Mar).",fo,"The Faroe Islands is a North Atlantic archipelago located 320 kilometres (200 mi) north-northwest of Scotland, and about halfway between Norway and Iceland. It is an autonomous territory within the Kingdom of Denmark. The islands have a total area of about 1,400 square kilometres (540 sq mi) with a population of 51,783 as of June 2019.The terrain is rugged; the climate is subpolar oceanic climate (Cfc)—windy, wet, cloudy, and cool. Temperatures average above freezing throughout the year because of the Gulf Stream. As a result of the moderation and the northerly latitude, summers normally hover around 12 °C (54 °F). Average temperatures are 5 °C (41 °F) in winter. The northerly latitude also results in perpetual civil twilight during summer nights and very short winter days.",https://en.wikipedia.org/wiki/Faroe_Islands,http://mycolumbus.xyz/bot-images/flags/faroe-islands.png,https://www.lonelyplanet.com/faroe-islands,"Danish krone, Faroese króna",Tórshavn,298,Europe (Northern Europe),UTC+00:00,Faroese,230 V @ 50 Hz plug C / E / F / K
Slovakia,The best time to visit Slovakia for warmer weather is from April to October. Bratislava is generally a year-round destination.,sk,"Slovakia, officially the Slovak Republic (Slovak: Slovenská republika, listen ), is a landlocked country in Central Europe. It is bordered by Poland to the north, Ukraine to the east, Hungary to the south, Austria to the west, and the Czech Republic to the northwest. Slovakia's territory spans about 49,000 square kilometres (19,000 sq mi) and is mostly mountainous. The population is over 5.4 million and consists mostly of Slovaks. The capital and largest city is Bratislava, and the
second-largest city is Košice. The official language is Slovak.",https://en.wikipedia.org/wiki/Slovakia,http://cdn.countryflags.com/thumbs/slovakia/flag-square-250.png,https://www.lonelyplanet.com/slovakia,Euro,Bratislava,421,Europe (Eastern Europe),UTC+01:00,Slovak,230 V @ 50 Hz plug C / E
Bulgaria,"Bulgaria has hot summers and long, snowy winters, especially in the mountains. Peak travel season is Jun–Aug and beaches can be crowded. Ski season is Dec–Feb. Crowds gather for countrywide Kukeri celebrations, also called Mummers Games (Jan), which feature parades and costumed performers. Other big events are the Balkan Folk Festival (May) in Veliko Tarnovo; the Kazanlak Rose Festival (June), with flower harvesting and a parade; the Varna Summer International Music Festival (Jun–Jul); and the Bansko Jazz Festival (Aug).
",bg,"Bulgaria, officially the Republic of Bulgaria (Bulgarian: Република България, tr. Republika Bǎlgariya, IPA: [rɛˈpublikɐ bɐɫˈɡarijɐ]), is a country in Southeast Europe. It is bordered by Romania to the north, Serbia and North Macedonia to the west, Greece and Turkey to the south, and the Black Sea to the east. The capital and largest city is Sofia; other major cities are Plovdiv, Varna and Burgas. With a territory of 110,994 square kilometres (42,855 sq mi), Bulgaria is Europe's
16th-largest country.",https://en.wikipedia.org/wiki/Bulgaria,http://cdn.countryflags.com/thumbs/bulgaria/flag-square-250.png,https://www.lonelyplanet.com/bulgaria,Bulgarian lev,Sofia,359,Europe (Eastern Europe),UTC+02:00,Bulgarian,230 V @ 50 Hz plug C / F
